[2025-06-24T13:01:57] case_001 | Content Integrity: 96.35%
[2025-06-24T13:01:58] case_002 | Content Integrity: 96.25%
[2025-06-24T13:01:58] case_003 | Content Integrity: 96.36%
[2025-06-24T13:01:58] case_004 | Content Integrity: 96.48%
[2025-06-24T13:01:58] case_005 | Content Integrity: 96.34%
[2025-06-24T13:01:59] case_006 | Content Integrity: 96.38%
[2025-06-24T13:02:00] case_007 | Content Integrity: 96.10%
[2025-06-24T13:02:00] case_008 | Content Integrity: 96.30%
[2025-06-24T13:02:00] case_009 | Content Integrity: 96.43%
[2025-06-24T13:02:01] case_010 | Content Integrity: 96.40%
[2025-06-24T13:02:02] case_011 | Content Integrity: 96.42%
[2025-06-24T13:02:02] case_012 | Content Integrity: 96.45%
[2025-06-24T13:02:02] case_013 | Content Integrity: 95.81%
[2025-06-24T13:02:03] case_014 | Content Integrity: 96.56%
[2025-06-24T13:02:03] case_015 | Content Integrity: 96.24%
[2025-06-24T13:02:04] case_016 | Content Integrity: 96.26%
[2025-06-24T13:02:04] case_017 | Content Integrity: 96.22%
[2025-06-24T13:02:04] case_018 | Content Integrity: 96.21%
[2025-06-24T13:02:05] case_019 | Content Integrity: 96.46%
[2025-06-24T13:02:06] case_020 | Content Integrity: 96.71%
[2025-06-24T13:02:07] case_021 | Content Integrity: 96.55%
[2025-06-24T13:02:07] case_022 | Content Integrity: 96.23%
[2025-06-24T13:02:08] case_023 | Content Integrity: 96.41%
[2025-06-24T13:02:08] case_024 | Content Integrity: 96.18%
[2025-06-24T13:02:08] case_025 | Content Integrity: 96.45%
[2025-06-24T13:02:09] case_026 | Content Integrity: 96.25%
[2025-06-24T13:02:09] case_027 | Content Integrity: 96.33%
[2025-06-24T13:02:10] case_028 | Content Integrity: 96.26%
[2025-06-24T13:02:10] case_029 | Content Integrity: 96.01%
[2025-06-24T13:02:11] case_030 | Content Integrity: 96.23%
[2025-06-24T13:02:11] case_031 | Content Integrity: 96.22%
[2025-06-24T13:02:11] case_032 | Content Integrity: 96.13%
[2025-06-24T13:02:12] case_033 | Content Integrity: 96.38%
[2025-06-24T13:02:12] case_034 | Content Integrity: 96.19%
[2025-06-24T13:02:12] case_035 | Content Integrity: 96.17%
[2025-06-24T13:02:12] case_036 | Content Integrity: 96.12%
[2025-06-24T13:02:13] case_037 | Content Integrity: 96.19%
[2025-06-24T13:02:13] case_038 | Content Integrity: 96.31%
[2025-06-24T13:02:13] case_039 | Content Integrity: 96.24%
[2025-06-24T13:02:13] case_040 | Content Integrity: 96.24%
[2025-06-24T13:02:14] case_041 | Content Integrity: 96.13%
[2025-06-24T13:02:14] case_042 | Content Integrity: 96.49%
[2025-06-24T13:02:15] case_043 | Content Integrity: 96.43%
[2025-06-24T13:02:15] case_044 | Content Integrity: 96.25%
[2025-06-24T13:02:16] case_045 | Content Integrity: 96.35%
[2025-06-24T13:02:16] case_046 | Content Integrity: 96.42%
[2025-06-24T13:02:16] case_047 | Content Integrity: 96.32%
[2025-06-24T13:02:17] case_048 | Content Integrity: 96.58%
[2025-06-24T13:02:17] case_049 | Content Integrity: 96.35%
[2025-06-24T13:02:17] case_050 | Content Integrity: 96.28%
[2025-06-24T13:02:18] case_051 | Content Integrity: 96.55%
[2025-06-24T13:02:18] case_052 | Content Integrity: 96.33%
[2025-06-24T13:02:19] case_053 | Content Integrity: 96.34%
[2025-06-24T13:02:19] case_054 | Content Integrity: 96.52%
[2025-06-24T13:02:20] case_055 | Content Integrity: 96.47%
[2025-06-24T13:02:20] case_056 | Content Integrity: 96.50%
[2025-06-24T13:02:20] case_057 | Content Integrity: 96.34%
[2025-06-24T13:02:21] case_058 | Content Integrity: 96.49%
[2025-06-24T13:02:21] case_059 | Content Integrity: 96.12%
[2025-06-24T13:02:21] case_060 | Content Integrity: 96.22%
[2025-06-24T13:02:22] case_061 | Content Integrity: 96.33%
[2025-06-24T13:02:22] case_062 | Content Integrity: 96.62%
[2025-06-24T13:02:23] case_063 | Content Integrity: 96.37%
[2025-06-24T13:02:23] case_064 | Content Integrity: 96.24%
[2025-06-24T13:02:24] case_065 | Content Integrity: 96.47%
[2025-06-24T13:02:25] case_066 | Content Integrity: 96.21%
[2025-06-24T13:02:25] case_067 | Content Integrity: 96.41%
[2025-06-24T13:02:26] case_068 | Content Integrity: 96.38%
[2025-06-24T13:02:27] case_069 | Content Integrity: 96.50%
[2025-06-24T13:02:27] case_070 | Content Integrity: 96.57%
